dateTimeFirstSeen	duration	protocol	endPointA_ipAddress	endPointA_portNo	direction	endPointB_ipAddress	endPointB_portNo	flags	tos	outboundPacketCount	inboundPacketCount	outboundByteCount	inboundByteCount	flowCount	dhcpLease_ipAddress	dhcpLease_macAddress	dhcpLease_expiryTimestamp	dnsRecord_ipAddress	dnsRecord_name	dnsRecord_timestamp	category
2015-09-10T13:16:13.317Z	0.044	17	173.194.115.66	443	<->	192.168.22.153	55482	......	0	2	1	1443	1378	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	173.194.115.66	play.l.google.com	2015-09-10T12:13:47.000Z	Application Store
2015-09-10T14:24:35.006Z	64.293	6	54.225.241.76	443	<->	192.168.22.153	59700	.APRSF	0	10	6	1320	666	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	54.225.241.76	dualstack.stylus-elb-new-1836657094.us-east-1.elb.amazonaws.com	2015-09-10T14:23:47.000Z	AWS Amazon
2015-09-10T12:58:06.788Z	4.05	6	107.6.93.234	80	<->	192.168.22.153	57739	.AP.SF	0	5	5	1489	972	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	107.6.93.234	loadus.tm.ssl.exelator.com	2015-09-10T12:44:59.000Z	Ads
2015-09-10T14:58:43.068Z	0.046	17	192.168.22.153	62913	<->	216.58.218.174	443	......	0	1	2	1378	1443	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.174	clients.l.google.com	2015-09-10T14:55:23.000Z	Analytics
2015-09-10T13:19:17.197Z	10.789	6	69.194.244.11	80	<->	192.168.22.153	58362	.A..SF	0	4	2	172	88	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	69.194.244.11	ad.turn.com.akadns.net	2015-09-10T12:54:34.000Z	Js Library
2015-09-10T12:54:29.788Z	16.671	6	23.80.26.162	80	<->	192.168.22.153	57113	.AP.SF	0	29	26	23094	13949	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	23.80.26.162	tags.bigpondmedia.com	2015-09-10T12:49:49.000Z	Analytics
2015-09-10T12:36:19.731Z	0.165	6	69.172.216.111	80	<->	192.168.22.153	53337	.AP.SF	0	5	5	1137	467	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	69.172.216.111	anycast.dt.adsafeprotected.com	2015-09-10T12:34:07.000Z	Ads
2015-09-10T14:20:03.010Z	16.085	6	149.174.67.75	443	<->	192.168.22.153	59487	.AP.SF	0	8	7	897	4430	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	149.174.67.75	nw-ads.gslb.ace.advertising.com.adcom.akadns.net	2015-09-10T13:14:34.000Z	Js Library
2015-09-10T12:51:34.889Z	12.883	6	96.16.7.40	80	<->	192.168.22.153	56776	.A..SF	0	4	2	172	92	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	96.16.7.40	user-att-107-205-48-0.a749.dsw4.akamai.net	2015-09-10T12:44:57.000Z	CDN
2015-09-10T12:57:10.928Z	13.929	6	23.210.36.8	443	<->	192.168.22.153	57505	.APRSF	0	9	7	731	4323	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	23.210.36.8	user-att-107-205-48-0.e566.dspe1.akamaiedge.net	2015-09-10T12:44:57.000Z	CDN
2015-09-10T15:59:28.457Z	1.152	6	96.17.177.27	80	<->	192.168.22.153	59890	.APRS.	0	10	9	3025	2486	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	96.17.177.27	user-att-107-205-48-0.a568.d.akamai.net	2015-09-10T15:59:28.000Z	CDN
2015-09-10T12:45:07.869Z	2.004	6	23.235.44.67	80	<->	192.168.22.153	55295	.AP.SF	0	6	5	988	763	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	23.235.44.67	prod.i.ssl.global.fastlylb.net	2015-09-10T12:34:19.000Z	Ads
2015-09-10T12:58:10.310Z	17.547	6	192.168.22.153	57800	<->	205.185.216.42	80	.A.RSF	0	3	4	132	172	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	205.185.216.42	cds.c3f9x5z2.hwcdn.net	2015-09-10T12:54:33.000Z	Social Network
2015-09-10T12:56:02.674Z	65.004	6	54.241.253.37	80	<->	192.168.22.153	57304	.AP.SF	0	19	19	18548	3102	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	54.241.253.37	gtm.sync.search.spotxchange.com.akadns.net	2015-09-10T12:49:42.000Z	VoIp
2015-09-10T10:08:52.035Z	63.117	6	184.51.218.189	443	<->	192.168.22.153	49583	.APRS.	0	9	8	826	4961	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	184.51.218.189	user-att-107-205-48-0.e11290.g.akamaiedge.net	2015-09-10T10:08:51.000Z	CDN
2015-09-10T12:49:41.642Z	7.267	6	107.21.249.50	80	<->	192.168.22.153	56434	.AP.SF	0	7	6	2830	705	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	107.21.249.50	userdblb.tubemogul.com	2015-09-10T10:06:34.000Z	Analytics
2015-09-10T12:35:38.039Z	16.42	6	8.21.24.36	80	<->	192.168.22.153	53083	.A..SF	0	6	3	276	144	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	8.21.24.36	data.agkn.com	2015-09-10T12:34:38.000Z	Analytics
2015-09-10T12:57:29.708Z	278.153	6	74.125.227.237	80	<->	192.168.22.153	57563	.AP.SF	0	16	14	3831	4440	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	74.125.227.237	pagead.l.doubleclick.net	2015-09-10T12:18:23.000Z	Ads
2015-09-10T12:37:37.559Z	0.367	6	162.208.21.162	80	<->	192.168.22.153	53682	.AP.SF	0	7	6	3848	705	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	162.208.21.162	geo-rtas.btrll.com	2015-09-10T12:34:18.000Z	AWS Amazon
2015-09-10T12:25:39.605Z	393.458	6	192.168.22.153	50470	<->	216.58.218.193	443	.AP.SF	0	112	68	127702	4614	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.193	pagead-googlehosted.l.google.com	2015-09-10T11:33:40.000Z	Analytics
2015-09-10T12:53:03.418Z	14.211	6	23.72.158.143	80	<->	192.168.22.153	56848	.A..SF	0	4	2	172	92	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	23.72.158.143	user-att-107-205-48-0.e3572.c.akamaiedge.net	2015-09-10T12:39:04.000Z	CDN
2015-09-10T13:18:09.244Z	5.723	6	184.172.27.198	443	<->	192.168.22.153	58262	.APRSF	0	8	8	1190	4500	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	184.172.27.198	navdmp.com	2015-09-10T12:34:10.000Z	Analytics
